# Expected output of zunic's normalizeStreamSafe, for Unicode 16.0.0.
# Generated by src/tools/test-stream-safe-properties.py --write-fixture;
# do not hand-edit. Each line is:
#
#   source ; stream-safe NFD ; stream-safe NFC ; description
#
# Columns are space-separated hex code points. The two output columns
# are UAX #15 section 13 insertion applied to the source scalars,
# then canonical normalization -- in that order.

; ; ; empty
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 61 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 61 leading marks, no starter
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; 95 marks after a starter
0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; 95 leading marks, no starter
0061 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316 0305 0316; 0061 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0316 0316 0316 0305 0305 0305; 0061 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0316 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0316 0316 0316 0305 0305 0305; mixed-class long run
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; runs separated by starters
0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0061 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; runs at exactly the limit, separated
0061 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; 0061 0305 0305 0305 0305 0305 034F 0305 0305 0305 0305 0305; existing CGJ inside a run
0061 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305; 0061 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; 0061 034F 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 0305 034F 0305; existing CGJ before a long run
1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69; 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307; 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69; precomposed characters with hidden marks
0061 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69; 0061 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307 0073 0323 0307; 0061 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69 1E69; hidden marks pushed past the limit
AC00 D4DB 1100 1161 11A8; 1100 1161 1111 1171 11B6 1100 1161 11A8; AC00 D4DB AC01; hangul
0061 FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E; 0061 FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E; 0061 FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E; U+FF9E, canonical and compatibility counts differ
0061 FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E; 0061 FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E 034F FF9E; 0061 FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E FF9E 034F FF9E; U+FF9E filling a run
0061 FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F; 0061 FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F; 0061 FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F; U+FF9F, canonical and compatibility counts differ
0061 FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F; 0061 FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F 034F FF9F; 0061 FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F FF9F 034F FF9F; U+FF9F filling a run
0061 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8; 0061 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8; 0061 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8; U+00A8, canonical and compatibility counts differ
0061 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8; 0061 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8; 0061 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8 00A8; U+00A8 filling a run
0061 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF; 0061 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF; 0061 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF; U+00AF, canonical and compatibility counts differ
0061 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF; 0061 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF; 0061 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF 00AF; U+00AF filling a run
